"species","grids"
"Ostericum_grosseserratum","v16508"
"Parthenocissus_tricuspidata","v16508"
"Patrinia_villosa","v16508"
"Philadelphus_schrenkii","v16508"
"Pilea_pumila","v16508"
"Potentilla_cryptotaeniae","v16508"
"Sanguisorba_officinalis","v16508"
"Sanicula_chinensis","v16508"
"Staphylea_bumalda","v16508"
"Toxicodendron_vernicifluum","v16508"
"Ulmus_davidiana","v16508"
"Utricularia_australis","v16508"
"Vicia_unijuga","v16508"
"Viola_acuminata","v16508"
"Viola_chaerophylloides","v16508"
"Acer_triflorum","v16509"
"Aconitum_jaluense","v16509"
"Adenocaulon_himalaicum","v16509"
"Agrimonia_coreana","v16509"
"Angelica_polymorpha","v16509"
"Cardamine_leucantha","v16509"
"Carpinus_cordata","v16509"
"Chelidonium_majus","v16509"
"Clematis_terniflora","v16509"
"Clerodendrum_japonicum","v16509"
"Cornus_controversa","v16509"
"Crataegus_pinnida","v16509"
"Crepidiastrum_chelidoniifolium","v16509"
"Fraxinus_chinensis","v16509"
"Galium_verum","v16509"
"Geranium_sibiricum","v16509"
"Lindera_obtusiloba","v16509"
"Lythrum_salicaria","v16509"
"Maackia_floribunda","v16509"
"Nuphar_pumila","v16509"
"Nymphaea_tetragona","v16509"
"Ostericum_grosseserratum","v16509"
"Parthenocissus_tricuspidata","v16509"
"Patrinia_villosa","v16509"
"Pilea_pumila","v16509"
"Potentilla_freyniana","v16509"
"Quercus_mongolica","v16509"
"Rhododendron_schlippenbachii","v16509"
"Salix_pierotii","v16509"
"Sanicula_chinensis","v16509"
"Staphylea_bumalda","v16509"
"Toxicodendron_vernicifluum","v16509"
"Ulmus_davidiana","v16509"
"Utricularia_australis","v16509"
"Vicia_unijuga","v16509"
"Viola_acuminata","v16509"
"Viola_chaerophylloides","v16509"
"Acer_palmatum","v16867"
"Acer_triflorum","v16867"
"Adenocaulon_himalaicum","v16867"
"Ajuga_mulora","v16867"
"Amorpha_fruticosa","v16867"
"Anagallis_arvensis","v16867"
"Angelica_polymorpha","v16867"
"Artemisia_gmelinii","v16867"
"Artemisia_keiskeana","v16867"
"Callicarpa_dichotoma","v16867"
"Cardamine_leucantha","v16867"
"Carpinus_cordata","v16867"
"Carpinus_turczaninowii","v16867"
"Ceratophyllum_demersum","v16867"
"Cercis_chinensis","v16867"
"Chionanthus_retusus","v16867"
"Clematis_terniflora","v16867"
"Clerodendrum_japonicum","v16867"
"Cornus_controversa","v16867"
"Cornus_kousa","v16867"
"Cornus_walteri","v16867"
"Corydalis_incisa","v16867"
"Corydalis_turtschaninovii","v16867"
"Crataegus_pinnida","v16867"
"Crepidiastrum_chelidoniifolium","v16867"
"Dianthus_longicalyx","v16867"
"Flueggea_suffruticosa","v16867"
"Geranium_sibiricum","v16867"
"Hepatica_nobilis","v16867"
"Hypericum_japonicum","v16867"
"Lamium_amplexicaule","v16867"
"Leibnitzia_anandria","v16867"
"Lespedeza_cyrtobotrya","v16867"
"Lindera_obtusiloba","v16867"
"Lobelia_chinensis","v16867"
"Lonicera_japonica","v16867"
"Ludwigia_prostrata","v16867"
"Lysimachia_barystachys","v16867"
"Maackia_amurensis","v16867"
"Maackia_floribunda","v16867"
"Metaplexis_japonica","v16867"
"Myriophyllum_spicatum","v16867"
"Myriophyllum_verticillatum","v16867"
"Nasturtium_officinale","v16867"
"Nymphaea_tetragona","v16867"
"Nymphoides_indica","v16867"
"Orostachys_japonica","v16867"
"Parthenocissus_tricuspidata","v16867"
"Paulownia_tomentosa","v16867"
"Persicaria_orientalis","v16867"
"Pilea_pumila","v16867"
"Pseudostellaria_palibiniana","v16867"
"Pterocarya_stenoptera","v16867"
"Pyrus_ussuriensis","v16867"
"Quercus_acutissima","v16867"
"Quercus_aliena","v16867"
"Quercus_variabilis","v16867"
"Rorippa_indica","v16867"
"Rubus_pungens","v16867"
"Salix_babylonica","v16867"
"Sanicula_chinensis","v16867"
"Silene_firma","v16867"
"Staphylea_bumalda","v16867"
"Stellaria_alsine","v16867"
"Thlaspi_arvense","v16867"
"Trapa_natans","v16867"
"Trifolium_repens","v16867"
"Ulmus_davidiana","v16867"
"Utricularia_australis","v16867"
"Vicia_unijuga","v16867"
"Viola_acuminata","v16867"
"Viola_chaerophylloides","v16867"
"Viola_rossii","v16867"
"Acer_palmatum","v16868"
"Acer_triflorum","v16868"
"Aconitum_jaluense","v16868"
"Adenocaulon_himalaicum","v16868"
"Agrimonia_coreana","v16868"
"Alangium_platanifolium","v16868"
"Amorpha_fruticosa","v16868"
"Androsace_umbellata","v16868"
"Angelica_polymorpha","v16868"
"Artemisia_gmelinii","v16868"
"Callicarpa_dichotoma","v16868"
"Cardamine_leucantha","v16868"
"Carpinus_cordata","v16868"
"Cercis_chinensis","v16868"
"Chelidonium_majus","v16868"
"Chionanthus_retusus","v16868"
"Clerodendrum_japonicum","v16868"
"Cornus_controversa","v16868"
"Cornus_kousa","v16868"
"Corydalis_turtschaninovii","v16868"
"Crataegus_pinnida","v16868"
"Crepidiastrum_chelidoniifolium","v16868"
"Euphorbia_maculata","v16868"
"Exochorda_serrolia","v16868"
"Flueggea_suffruticosa","v16868"
"Fraxinus_chinensis","v16868"
"Galium_verum","v16868"
"Geranium_sibiricum","v16868"
"Hepatica_nobilis","v16868"
"Hypericum_japonicum","v16868"
"Leibnitzia_anandria","v16868"
"Lespedeza_cyrtobotrya","v16868"
"Lindera_obtusiloba","v16868"
"Lobelia_chinensis","v16868"
"Lonicera_japonica","v16868"
"Lysimachia_barystachys","v16868"
"Maackia_floribunda","v16868"
"Myriophyllum_verticillatum","v16868"
"Nasturtium_officinale","v16868"
"Nymphoides_indica","v16868"
"Ostericum_grosseserratum","v16868"
"Parthenocissus_tricuspidata","v16868"
"Patrinia_villosa","v16868"
"Pilea_pumila","v16868"
"Plantago_asiatica","v16868"
"Potentilla_freyniana","v16868"
"Pseudostellaria_palibiniana","v16868"
"Pterocarya_stenoptera","v16868"
"Pyrus_ussuriensis","v16868"
"Quercus_aliena","v16868"
"Quercus_mongolica","v16868"
"Rorippa_indica","v16868"
"Rorippa_islandica","v16868"
"Rubus_pungens","v16868"
"Salix_babylonica","v16868"
"Salix_pierotii","v16868"
"Sanguisorba_officinalis","v16868"
"Sanicula_chinensis","v16868"
"Staphylea_bumalda","v16868"
"Thlaspi_arvense","v16868"
"Toxicodendron_vernicifluum","v16868"
"Trapa_natans","v16868"
"Trifolium_repens","v16868"
"Ulmus_davidiana","v16868"
"Utricularia_australis","v16868"
"Vicia_cracca","v16868"
"Vicia_unijuga","v16868"
"Viola_acuminata","v16868"
"Viola_chaerophylloides","v16868"
"Viola_rossii","v16868"
"Acer_triflorum","v16869"
"Aconitum_jaluense","v16869"
"Actinidia_arguta","v16869"
"Adenocaulon_himalaicum","v16869"
"Angelica_polymorpha","v16869"
"Cardamine_leucantha","v16869"
"Carpinus_cordata","v16869"
"Cercis_chinensis","v16869"
"Chelidonium_majus","v16869"
"Clerodendrum_japonicum","v16869"
"Cornus_controversa","v16869"
"Corydalis_turtschaninovii","v16869"
"Crataegus_pinnida","v16869"
"Crepidiastrum_chelidoniifolium","v16869"
"Elsholtzia_ciliata","v16869"
"Euphorbia_maculata","v16869"
"Fraxinus_chinensis","v16869"
"Galium_verum","v16869"
"Geranium_sibiricum","v16869"
"Lindera_obtusiloba","v16869"
"Lonicera_japonica","v16869"
"Lysimachia_barystachys","v16869"
"Lythrum_salicaria","v16869"
"Maackia_floribunda","v16869"
"Nasturtium_officinale","v16869"
"Nuphar_pumila","v16869"
"Ostericum_grosseserratum","v16869"
"Parthenocissus_tricuspidata","v16869"
"Pilea_pumila","v16869"
"Plantago_asiatica","v16869"
"Potentilla_freyniana","v16869"
"Pseudostellaria_palibiniana","v16869"
"Pyrus_ussuriensis","v16869"
"Quercus_mongolica","v16869"
"Rhododendron_schlippenbachii","v16869"
"Ribes_fasciculatum","v16869"
"Rorippa_islandica","v16869"
"Rubus_pungens","v16869"
"Salix_pierotii","v16869"
"Salvia_plebeia","v16869"
"Sanguisorba_officinalis","v16869"
"Sanicula_chinensis","v16869"
"Staphylea_bumalda","v16869"
"Ulmus_davidiana","v16869"
"Utricularia_australis","v16869"
"Vicia_unijuga","v16869"
"Viola_acuminata","v16869"
"Viola_chaerophylloides","v16869"
"Viola_rossii","v16869"
"Zelkova_serrata","v16869"
"Aconitum_jaluense","v16870"
"Actinidia_arguta","v16870"
"Adenocaulon_himalaicum","v16870"
"Angelica_polymorpha","v16870"
"Berberis_amurensis","v16870"
"Brasenia_schreberi","v16870"
"Cardamine_leucantha","v16870"
"Carpinus_cordata","v16870"
"Cercis_chinensis","v16870"
"Clematis_terniflora","v16870"
"Clerodendrum_japonicum","v16870"
"Cornus_controversa","v16870"
"Corydalis_turtschaninovii","v16870"
"Crepidiastrum_chelidoniifolium","v16870"
"Elsholtzia_ciliata","v16870"
"Fraxinus_chinensis","v16870"
"Fraxinus_sieboldiana","v16870"
"Galium_verum","v16870"
"Geranium_sibiricum","v16870"
"Hepatica_nobilis","v16870"
"Isodon_japonicus","v16870"
"Lindera_obtusiloba","v16870"
"Lonicera_japonica","v16870"
"Maackia_floribunda","v16870"
"Meterostachys_sikokianus","v16870"
"Nuphar_pumila","v16870"
"Ostericum_grosseserratum","v16870"
"Parthenocissus_tricuspidata","v16870"
"Pilea_pumila","v16870"
"Plantago_asiatica","v16870"
"Potentilla_freyniana","v16870"
"Pseudostellaria_palibiniana","v16870"
"Pyrus_ussuriensis","v16870"
"Quercus_mongolica","v16870"
"Rhododendron_schlippenbachii","v16870"
"Ribes_fasciculatum","v16870"
"Rubus_pungens","v16870"
"Salix_gracilistyla","v16870"
"Salix_pierotii","v16870"
"Salvia_plebeia","v16870"
"Sanguisorba_officinalis","v16870"
"Sanicula_chinensis","v16870"
"Ulmus_davidiana","v16870"
"Utricularia_australis","v16870"
"Vicia_unijuga","v16870"
"Viola_acuminata","v16870"
"Viola_chaerophylloides","v16870"
"Viola_rossii","v16870"
"Zelkova_serrata","v16870"
"Acer_palmatum","v17227"
"Adenocaulon_himalaicum","v17227"
"Ajuga_mulora","v17227"
"Amaranthus_tricolor","v17227"
"Amorpha_fruticosa","v17227"
"Anagallis_arvensis","v17227"
"Angelica_decursiva","v17227"
"Angelica_polymorpha","v17227"
"Artemisia_gmelinii","v17227"
"Artemisia_keiskeana","v17227"
"Callicarpa_dichotoma","v17227"
"Cardamine_leucantha","v17227"
"Cardamine_lyrata","v17227"
"Carpinus_cordata","v17227"
"Carpinus_turczaninowii","v17227"
"Ceratophyllum_demersum","v17227"
"Cercis_chinensis","v17227"
"Chionanthus_retusus","v17227"
"Clematis_terniflora","v17227"
"Clerodendrum_japonicum","v17227"
"Cornus_controversa","v17227"
"Cornus_kousa","v17227"
"Cornus_officinalis","v17227"
"Cornus_walteri","v17227"
"Corydalis_incisa","v17227"
"Corydalis_turtschaninovii","v17227"
"Crataegus_pinnida","v17227"
"Crepidiastrum_chelidoniifolium","v17227"
"Cuscuta_japonica","v17227"
"Dianthus_longicalyx","v17227"
"Flueggea_suffruticosa","v17227"
"Galium_verum","v17227"
"Geranium_sibiricum","v17227"
"Hepatica_nobilis","v17227"
"Hypericum_japonicum","v17227"
"Lamium_amplexicaule","v17227"
"Leibnitzia_anandria","v17227"
"Lespedeza_cyrtobotrya","v17227"
"Lindera_obtusiloba","v17227"
"Lobelia_chinensis","v17227"
"Lonicera_japonica","v17227"
"Ludwigia_prostrata","v17227"
"Lysimachia_barystachys","v17227"
"Maackia_amurensis","v17227"
"Maackia_floribunda","v17227"
"Metaplexis_japonica","v17227"
"Myriophyllum_spicatum","v17227"
"Myriophyllum_verticillatum","v17227"
"Nasturtium_officinale","v17227"
"Nelumbo_nucifera","v17227"
"Nuphar_pumila","v17227"
"Nymphaea_tetragona","v17227"
"Nymphoides_indica","v17227"
"Orostachys_japonica","v17227"
"Parthenocissus_tricuspidata","v17227"
"Paulownia_tomentosa","v17227"
"Persicaria_orientalis","v17227"
"Pilea_pumila","v17227"
"Plantago_asiatica","v17227"
"Potentilla_freyniana","v17227"
"Pseudostellaria_palibiniana","v17227"
"Pterocarya_stenoptera","v17227"
"Pyrus_ussuriensis","v17227"
"Quercus_acutissima","v17227"
"Quercus_aliena","v17227"
"Quercus_mongolica","v17227"
"Quercus_variabilis","v17227"
"Rhododendron_schlippenbachii","v17227"
"Ribes_fasciculatum","v17227"
"Rorippa_indica","v17227"
"Rubus_pungens","v17227"
"Salix_babylonica","v17227"
"Salix_chaenomeloides","v17227"
"Salix_pierotii","v17227"
"Salvia_plebeia","v17227"
"Sanicula_chinensis","v17227"
"Silene_firma","v17227"
"Staphylea_bumalda","v17227"
"Stellaria_alsine","v17227"
"Thlaspi_arvense","v17227"
"Trapa_natans","v17227"
"Trifolium_repens","v17227"
"Trigonotis_peduncularis","v17227"
"Ulmus_davidiana","v17227"
